Monomer_ID,SMILES,Affinity_Type,Affinity_Unit,Affinity_Value
170834,COc1ccc(F)c(F)c1CNC(=O)[C@@H]1SCCN1C(=O)Nc1cn(C(N)=O)c2ccccc12 |r|,IC50,nM,200
170835,NC(=O)n1cc(NC(=O)N2CCS[C@H]2C(=O)NCc2cnc(Cl)s2)c2ccccc12 |r|,IC50,nM,400
170836,NC(=O)n1cc(NC(=O)N2CCS[C@H]2C(=O)NCc2cccc(Cl)c2F)c2cc(F)ccc12 |r|,IC50,nM,10
170837,CNC(=O)n1cc(NC(=O)N2[C@@H]3C[C@]3(CO)S[C@H]2C(=O)NCc2cccc(Cl)c2F)c2ccccc12 |r|,IC50,nM,83
170839,NC(=O)n1cc(NC(=O)N2CCS[C@H]2C(=O)Nc2cccc(OC(F)(F)F)c2)c2ccccc12 |r|,IC50,nM,83
170840,NC(=O)n1cc(NC(=O)N2[C@@H]3C[C@@H]3C[C@H]2C(=O)NCc2cccc(Cl)c2F)c2cc(OCC=C)ccc12 |r|,IC50,nM,8
170842,CNC(=O)n1cc(NC(=O)N2[C@@H]3C[C@@H]3C[C@H]2C(=O)N[C@H](COC)c2cccc(Cl)c2F)c2ccccc12 |r|,IC50,nM,54
170843,CC(=O)n1cc(NC(=O)N2CCC[C@H]2C(=O)Nc2cccc(OC(F)(F)F)c2)c2ccccc12 |r|,IC50,nM,629
170844,COC(=O)c1cc(Br)cc(NC(=O)[C@@H]2C[C@H]3C[C@H]3N2C(=O)Nc2cn(C(N)=O)c3ccccc23)c1 |r|,IC50,nM,271
170846,NC(=O)n1cc(NC(=O)N2C[C@H](F)C[C@H]2C(=O)Nc2cccc(OC(F)(F)F)c2F)c2ccccc12 |r|,IC50,nM,14
170847,CC(=O)n1cc(NC(=O)N2[C@@H]3C[C@]3(CO)C[C@H]2C(=O)NCc2cccc(Cl)c2F)c2ccccc12 |r|,IC50,nM,30
170849,CN(C)C(=O)c1cc(Cl)c(F)c(CNC(=O)[C@@H]2C[C@@H](F)CN2C(=O)Nc2cn(C(N)=O)c3ccccc23)c1 |r|,IC50,nM,627
170850,NC(=O)n1cc(NC(=O)N2C[C@H](F)C[C@H]2C(=O)Nc2ccc(C(O)=O)c(Br)c2)c2ccccc12 |r|,IC50,nM,350
170852,NC(=O)n1cc(NC(=O)N2C[C@H](F)C[C@H]2C(=O)NCc2cccc(Cl)c2F)c2ccc(OCC=C)cc12 |r|,IC50,nM,250
170853,CN(C)C[C@@H](NC(=O)[C@@H]1C[C@H]2C[C@H]2N1C(=O)Nc1cn(C(C)=O)c2ccccc12)c1cccc(Cl)c1F |r|,IC50,nM,18
