Monomer_ID,SMILES,Affinity_Type,Affinity_Value
370168,CNS(=O)(=O)N1CCC(CC1)Nc1ncc2ccc(=O)n([C@@H]3CCC[C@@]3(C)O)c2n1 |r|,Ki,0.280
370169,CNS(=O)(=O)N1CCC(CC1)Nc1ncc2ccc(=O)n([C@H]3CCC[C@]3(C)O)c2n1 |r|,Ki,5.21
370170,C[C@@]1(O)CCC[C@H]1n1c2nc(NC3CCN(CC3)S(=O)(=O)CF)ncc2ccc1=O |r|,Ki,0.270
370171,C[C@]1(O)CCC[C@@H]1n1c2nc(NC3CCN(CC3)S(=O)(=O)CF)ncc2ccc1=O |r|,Ki,4.13
370172,COC(C)(C)CNS(=O)(=O)N1CCC(CC1)Nc1ncc2ccc(=O)n([C@@H]3CCC[C@@]3(C)O)c2n1 |r|,Ki,0.480
370173,COC(C)(C)CNS(=O)(=O)N1CCC(CC1)Nc1ncc2ccc(=O)n([C@H]3CCC[C@]3(C)O)c2n1 |r|,Ki,4.55
370174,C[C@@]1(O)CCC[C@H]1n1c2nc(NC3CCN(CC3)S(=O)(=O)NC[C@@H]3CCCO3)ncc2ccc1=O |r|,Ki,0.350
370175,C[C@]1(O)CCC[C@@H]1n1c2nc(NC3CCN(CC3)S(=O)(=O)NC[C@@H]3CCCO3)ncc2ccc1=O |r|,Ki,4.51
370176,C[C@@]1(O)CCCC1n1c2nc(NC3CCN(CC3)S(=O)(=O)NC[C@H]3CCCO3)ncc2ccc1=O |r|,Ki,0.350
370177,C[C@]1(O)CCC[C@@H]1n1c2nc(NC3CCN(CC3)S(=O)(=O)NC[C@H]3CCCO3)ncc2ccc1=O |r|,Ki,4.85
370179,CC(F)(F)CNS(=O)(=O)N1CCC(CC1)Nc1ncc2ccc(=O)n([C@@H]3CCC[C@@]3(C)O)c2n1 |r|,Ki,0.210
370180,CC(F)(F)CNS(=O)(=O)N1CCC(CC1)Nc1ncc2ccc(=O)n([C@H]3CCC[C@]3(C)O)c2n1 |r|,Ki,4.05
370181,C[C@@]1(O)CCC[C@H]1n1c2nc(NC3CCN(CC3)S(=O)(=O)NC3CCOCC3)ncc2ccc1=O |r|,Ki,0.410
370182,C[C@]1(O)CCC[C@@H]1n1c2nc(NC3CCN(CC3)S(=O)(=O)NC3CCOCC3)ncc2ccc1=O |r|,Ki,4.48
370183,C[C@@]1(O)CCC[C@H]1n1c2nc(NC3CCN(CC3)S(=O)(=O)C3CCS(=O)(=O)C3)ncc2ccc1=O |r|,Ki,0.250
370185,COCCS(=O)(=O)N1CCC(CC1)Nc1ncc2ccc(=O)n([C@@H]3CCC[C@@]3(C)O)c2n1 |r|,Ki,0.420
370186,COCCS(=O)(=O)N1CCC(CC1)Nc1ncc2ccc(=O)n([C@H]3CCC[C@]3(C)O)c2n1 |r|,Ki,5.03
370187,C[C@@]1(O)CCC[C@H]1n1c2nc(NC3CCN(CC3)S(=O)(=O)C3CC3)ncc2ccc1=O |r|,Ki,0.200
370188,C[C@]1(O)CCC[C@@H]1n1c2nc(NC3CCN(CC3)S(=O)(=O)C3CC3)ncc2ccc1=O |r|,Ki,3.85
370189,CCS(=O)(=O)N1CCC(CC1)Nc1ncc2ccc(=O)n([C@@H]3CCC[C@@]3(C)O)c2n1 |r|,Ki,0.210
370190,CCS(=O)(=O)N1CCC(CC1)Nc1ncc2ccc(=O)n([C@H]3CCC[C@]3(C)O)c2n1 |r|,Ki,4.07
370191,C[C@@]1(O)CCC[C@H]1n1c2nc(NC3CCN(CC3)S(=O)(=O)c3nccs3)ncc2ccc1=O |r|,Ki,0.250
370192,C[C@]1(O)CCC[C@@H]1n1c2nc(NC3CCN(CC3)S(=O)(=O)c3nccs3)ncc2ccc1=O |r|,Ki,7.3
370193,C[C@@]1(O)CCC[C@H]1n1c2nc(NC3CCN(CC3)S(=O)(=O)c3nncs3)ncc2ccc1=O |r|,Ki,0.250
370194,C[C@]1(O)CCC[C@@H]1n1c2nc(NC3CCN(CC3)S(=O)(=O)c3nncs3)ncc2ccc1=O |r|,Ki,7.03
370195,Cn1cc(cn1)S(=O)(=O)N1CCC(CC1)Nc1ncc2ccc(=O)n([C@@H]3CCC[C@@]3(C)O)c2n1 |r|,Ki,0.100
370196,Cn1cc(cn1)S(=O)(=O)N1CCC(CC1)Nc1ncc2ccc(=O)n([C@H]3CCC[C@]3(C)O)c2n1 |r|,Ki,1.98
370197,Cn1cnc(c1)S(=O)(=O)N1CCC(CC1)Nc1ncc2ccc(=O)n([C@@H]3CCC[C@@]3(C)O)c2n1 |r|,Ki,0.080
370198,Cn1cnc(c1)S(=O)(=O)N1CCC(CC1)Nc1ncc2ccc(=O)n([C@H]3CCC[C@]3(C)O)c2n1 |r|,Ki,1.98
370199,C[C@@]1(O)CCC[C@H]1n1c2nc(NC3CCN(CC3)S(=O)(=O)CC(F)(F)F)ncc2ccc1=O |r|,Ki,0.450
370200,C[C@]1(O)CCC[C@@H]1n1c2nc(NC3CCN(CC3)S(=O)(=O)CC(F)(F)F)ncc2ccc1=O |r|,Ki,4.38
370201,C[C@@]1(O)CCC[C@H]1n1c2nc(NC3CCN(CC3)S(=O)(=O)C(F)(F)F)ncc2ccc1=O |r|,Ki,1.34
370202,C[C@]1(O)CCC[C@@H]1n1c2nc(NC3CCN(CC3)S(=O)(=O)C(F)(F)F)ncc2ccc1=O |r|,Ki,17.6
370203,C[C@@]1(O)CCC[C@H]1n1c2nc(NC3CCN(CC3)S(=O)(=O)CC3CC3)ncc2ccc1=O |r|,Ki,0.250
370204,C[C@]1(O)CCC[C@@H]1n1c2nc(NC3CCN(CC3)S(=O)(=O)CC3CC3)ncc2ccc1=O |r|,Ki,3.01
370205,Cc1cc2cnc(NC3CCN(CC3)S(C)(=O)=O)nc2n([C@@H]2CCC[C@@]2(C)O)c1=O |r|,Ki,0.080
370206,Cc1cc2cnc(NC3CCN(CC3)S(C)(=O)=O)nc2n([C@H]2CCC[C@]2(C)O)c1=O |r|,Ki,1.67
370207,CNS(=O)(=O)N1CCC(CC1)Nc1ncc2cc(C)c(=O)n([C@@H]3CCC[C@@]3(C)O)c2n1 |r|,Ki,0.090
370208,CNS(=O)(=O)N1CCC(CC1)Nc1ncc2cc(C)c(=O)n([C@H]3CCC[C@]3(C)O)c2n1 |r|,Ki,1.39
370209,Cc1cc2cnc(NC3CCN(CC3)S(=O)(=O)NC3CCOCC3)nc2n([C@@H]2CCC[C@@]2(C)O)c1=O |r|,Ki,0.240
